period,region,area,community,year_built,room_type,area_sqm,total_price_wan,unit_price_wan_sqm,negotiation_rate,deal_date
2026-04下,福田,香蜜湖,财富广场,2003,1室,41,490,11.81,,2026-04-20
2026-04下,福田,香蜜湖,财富广场,2003,1室,49,495,10.15,-1.98,2026-04-26
2026-04下,福田,香蜜湖,东海花园二期福绿居,2000,5室,167,2038,12.22,,2026-04-18
2026-04下,福田,香蜜湖,金地香蜜山,2004,4室,157,1208,7.67,,2026-04-21
2026-04下,福田,香蜜湖,侨香村,2011,3室,91,808,8.94,,2026-04-20
2026-04下,福田,香蜜湖,香蜜湖第一生态苑,2003,6室,424,10500,24.74,,2026-04-29
2026-04下,福田,香蜜湖,香蜜湖水樾花都,2004,5室,157,2628,16.77,-8.45,2026-04-20
2026-04下,福田,香蜜湖,星逸园,2000,3室,108,920,8.55,-7.91,2026-04-30
2026-04下,福田,竹子林,宝能公馆,2016,2室,98,520,5.29,-8.45,2026-04-20
2026-04下,福田,竹子林,金海燕花园,1997,3室,127,808,6.35,,2026-04-20
2026-04下,福田,竹子林,新浩城花园,1997,4室,149,816,5.47,-17.58,2026-04-29
2026-04下,福田,车公庙,都市花园,1999,3室,97,520,5.35,-10.34,2026-04-18
2026-04下,福田,车公庙,泰然小区,1990,1室,34,170,5.01,,2026-04-20
2026-04下,福田,香梅北,景蜜村,1997,3室,87,530,6.12,-9.86,2026-04-20
2026-04下,福田,香梅北,景蜜村,1997,3室,85,567,6.67,-8.39,2026-04-20
2026-04下,福田,香梅北,天然居,2002,3室,95,850,8.95,-8.99,2026-04-18
2026-04下,福田,香梅北,天然居,2002,4室,137,1303,9.50,-5.58,2026-04-26
2026-04下,福田,香梅北,香巢大厦,1996,2室,82,398,4.83,-5.24,2026-04-20
2026-04下,福田,景田,锦文阁大厦,1999,1室,45,191,4.24,-12.57,2026-04-26
2026-04下,福田,景田,景龙大厦,1998,3室,103,567,5.50,-9.31,2026-04-26
2026-04下,福田,景田,景田南小区,1994,3室,87,500,5.75,-4.76,2026-04-18
2026-04下,福田,景田,凯旋豪庭,2007,1室,41,240,5.87,-7.69,2026-04-18
2026-04下,福田,景田,龙塘小区,1991,3室,78,426,5.45,-11.80,2026-04-16
2026-04下,福田,景田,瑞达苑,2004,4室,168,800,4.79,-7.69,2026-04-19
2026-04下,福田,景田,香蜜新村,1987,2室,67,387,5.75,-9.58,2026-04-20
2026-04下,福田,景田,香蜜新村,1987,2室,67,392,5.75,-13.00,2026-04-30
2026-04下,福田,景田,怡枫园,1999,3室,78,303,3.88,-22.31,2026-04-28
2026-04下,福田,景田,TT国际公寓,2005,1室,40,240,5.99,-5.88,2026-04-22
2026-04下,福田,福田中心,彩福大厦,2001,1室,49,205,4.18,-6.82,2026-04-20
2026-04下,福田,福田中心,城中雅苑,2004,3室,84,630,7.52,,2026-04-20
2026-04下,福田,福田中心,福华新村,1992,3室,86,480,5.58,-7.69,2026-04-16
2026-04下,福田,福田中心,福景大厦,1998,4室,100,517,5.16,-2.45,2026-04-19
2026-04下,福田,福田中心,供电大厦,1997,3室,95,380,4.00,-2.56,2026-04-19
2026-04下,福田,福田中心,嘉颂豪庭,2006,3室,134,877,6.53,,2026-04-30
2026-04下,福田,福田中心,雅颂园,2004,3室,124,1480,11.97,-1.33,2026-04-21
2026-04下,福田,福田中心,中海华庭,2000,3室,106,988,9.28,,2026-04-19
2026-04下,福田,福田中心,中银花园,1997,4室,171,690,4.02,-6.12,2026-04-30
2026-04下,福田,莲花,城投青莲公寓,2005,1室,35,178,5.10,-13.17,2026-04-22
