period,region,area,community,year_built,room_type,area_sqm,total_price_wan,unit_price_wan_sqm,negotiation_rate,deal_date
2026-05上,福田,香蜜湖,东海花园二期福绿居,2000,5室,340,4200,12.37,,2026-05-03
2026-05上,福田,香蜜湖,东海花园二期福绿居,2000,6室,340,4200,12.37,,2026-05-03
2026-05上,福田,香蜜湖,合正香蜜原著,2014,4室,88,1353,15.38,-6.69,2026-05-06
2026-05上,福田,香蜜湖,侨香村,2011,3室,91,955,10.49,,2026-05-06
2026-05上,福田,香蜜湖,深业中城,2019,1室,49,310,6.32,,2026-05-04
2026-05上,福田,香蜜湖,熙园,2004,5室,288,7538,26.17,-26.10,2026-05-11
2026-05上,福田,香蜜湖,香蜜园,2006,3室,70,765,10.00,-25.00,2026-05-04
2026-05上,福田,香蜜湖,香蜜中央花园,2005,4室,188,3550,18.91,,2026-05-13
2026-05上,福田,竹子林,东方旗舰,2006,3室,130,1128,8.65,-4.41,2026-05-05
2026-05上,福田,竹子林,竹盛花园三期,2003,3室,88,490,5.57,-10.91,2026-05-06
2026-05上,福田,车公庙,趣园,2004,1室,52,200,3.83,-9.09,2026-05-06
2026-05上,福田,车公庙,泰安轩,2002,1室,39,210,5.38,-20.75,2026-05-12
2026-05上,福田,车公庙,泰康轩,2002,1室,35,242,6.82,-5.10,2026-05-04
2026-05上,福田,车公庙,泰然北小区,1990,3室,85,175,2.05,-2.78,2026-05-05
2026-05上,福田,香梅北,天然居,2002,3室,108,938,8.70,-7.13,2026-05-04
2026-05上,福田,景田,金色家园二期,2002,3室,88,819,9.31,-3.62,2026-05-07
2026-05上,福田,景田,景田西小区,1993,3室,77,500,6.53,-4.76,2026-05-07
2026-05上,福田,景田,景雅居,2000,2室,68,388,5.72,-5.37,2026-05-12
2026-05上,福田,景田,凯旋豪庭,2007,1室,41,254,6.23,-4.34,2026-05-08
2026-05上,福田,景田,万托豪庭,2003,2室,65,300,4.59,-14.29,2026-05-10
2026-05上,福田,景田,万托豪庭,2003,2室,59,270,4.57,-20.35,2026-05-15
2026-05上,福田,福田中心,城中雅苑,2004,2室,84,722,8.60,-15.06,2026-05-07
2026-05上,福田,福田中心,福安苑,2023,4室,143,1298,9.08,-9.23,2026-05-05
2026-05上,福田,福田中心,福岗园,1997,2室,59,270,4.60,-6.90,2026-05-13
2026-05上,福田,福田中心,福华新村,1992,3室,69,330,4.81,-8.33,2026-05-05
2026-05上,福田,福田中心,福莲花园,1990,3室,94,616,6.55,-12.00,2026-05-01
2026-05上,福田,福田中心,福莲花园,1990,3室,89,515,5.77,-17.99,2026-05-15
2026-05上,福田,福田中心,恒运豪庭,2003,2室,76,480,6.35,-4.00,2026-05-12
2026-05上,福田,福田中心,黄埔雅苑四期,2003,2室,80,695,8.71,-2.80,2026-05-06
2026-05上,福田,福田中心,星河世纪,2004,1室,44,288,6.51,-2.70,2026-05-04
2026-05上,福田,福田中心,紫玉花园,1998,4室,145,790,5.46,-4.24,2026-05-05
2026-05上,福田,莲花,彩田村,2002,3室,90,640,7.09,-2.74,2026-05-05
2026-05上,福田,莲花,莲花北村,1993,2室,75,410,5.46,-5.96,2026-05-11
2026-05上,福田,莲花,茂悦园,2003,5室,189,915,4.83,-15.28,2026-05-09
2026-05上,福田,莲花,长城盛世家园二期,2004,2室,74,430,5.83,-13.65,2026-05-08
2026-05上,福田,梅林,碧华庭居,2000,3室,106,575,5.44,-5.74,2026-05-07
2026-05上,福田,梅林,碧华庭居,2000,3室,106,632,5.97,-6.40,2026-05-06
2026-05上,福田,梅林,福兴花园,2002,1室,45,267,5.88,-10.70,2026-05-07
2026-05上,福田,梅林,凯伦花园,1995,1室,18,79,4.36,-8.14,2026-05-08
2026-05上,福田,梅林,凯伦花园,1995,1室,19,83,4.36,-17.00,2026-05-13
2026-05上,福田,梅林,绿景虹湾,2015,3室,75,558,7.43,-7.77,2026-05-06
2026-05上,福田,梅林,梅林一村,1998,3室,97,555,5.75,-7.00,2026-05-06
2026-05上,福田,梅林,梅林一村六区,1998,3室,97,656,6.78,-6.29,2026-05-06
2026-05上,福田,梅林,尚书苑,2005,1室,42,246,5.82,-18.00,2026-05-10
2026-05上,福田,梅林,先科花园,1996,1室,39,143,3.66,-2.40,2026-05-15
2026-05上,福田,梅林,中康生活区,1992,3室,88,493,5.60,-6.98,2026-05-14
2026-05上,福田,上下沙,花好园,2005,1室,38,218,5.68,-8.40,2026-05-01
2026-05上,福田,上下沙,花好园,2005,1室,42,224,5.34,-1.84,2026-05-06
2026-05上,福田,上下沙,花好园,2005,1室,39,217,5.53,-14.90,2026-05-06
2026-05上,福田,上下沙,花好园,2005,1室,39,217,5.58,-3.64,2026-05-13
2026-05上,福田,上下沙,花好园,2005,1室,31,156,5.09,-11.36,2026-05-08
2026-05上,福田,上下沙,万科金域蓝湾一期,2003,2室,73,578,7.89,-13.08,2026-05-06
2026-05上,福田,沙尾,好景豪园,1999,4室,160,816,5.10,-14.11,2026-05-08
2026-05上,福田,沙尾,金地海景花园,1997,1室,33,134,4.10,-10.67,2026-05-12
